Gene,pvals,p_fdr,log2_fold_change
NP_720488.1,3.30449265669575e-23,4.94160390417326e-22,0.0632980313444864
NP_720489.1,4.2284703898227e-15,1.8490119405497e-14,0.114788169500827
NP_720490.1,8.10882835388015e-12,2.32920744065267e-11,0.381959816365969
NP_720491.1,2.48812824301528e-10,5.816519365235e-10,-0.0572225848324202
NP_720492.1,2.24583012669002e-07,3.64203743227298e-07,-0.0610365149664249
NP_720493.1,1.96944324051891e-05,2.61391552044482e-05,0.0782444273897446
NP_720494.1,6.48417341379359e-14,2.41034074338172e-13,0.510658662139872
NP_720495.1,9.32095695553897e-34,7.9390237721308e-32,0.346309947427515
NP_720496.1,4.91514632338165e-14,1.84459226963691e-13,0.0660710949324469
NP_720497.1,6.30149248122779e-13,2.10300234594979e-12,0.01405614241503
NP_720498.1,7.09853463101042e-14,2.62377912116027e-13,-0.421333468950501
NP_720499.1,0.000570279566124351,0.000658325085467062,0.00578514503597979
NP_720500.1,3.48330494130089e-13,1.19297104545602e-12,0.103280342573338
NP_720501.1,6.99590578313751e-33,4.89463551041656e-31,0.667032535494204
NP_720502.1,5.36843823967572e-15,2.32158289437632e-14,1.22877704188503
NP_720503.1,5.08378403165433e-18,3.50673694296156e-17,0.089012947330831
NP_720504.1,1.43780114837202e-11,3.95042419307263e-11,0.396407027273785
NP_720505.1,4.70078820278927e-05,5.97403422066648e-05,-0.567839000589484
NP_720506.1,3.34493484225833e-10,7.70909100704007e-10,0.0303813713976784
NP_720507.1,3.7406076586329e-13,1.27662899011531e-12,0.100768059297385
NP_720508.1,3.91843006693669e-15,1.73277753975823e-14,0.563975679766208
NP_720509.1,9.04571738353208e-16,4.39716137824798e-15,0.0686962023710671
NP_720510.1,1.29296909847721e-18,9.81754443378622e-18,0.15609232785072
NP_720511.1,6.72651779874653e-07,1.03432090798622e-06,-0.0117294448309151
NP_720512.1,1.83150660258844e-18,1.36422868230827e-17,0.614993995990882
NP_720513.1,6.98652783122752e-09,1.34051009024238e-08,0.141226535753043
NP_720514.1,9.22236175562766e-27,2.61834879409777e-25,0.892882893415902
NP_720515.1,4.53033597139817e-08,7.89584356580873e-08,-0.187601929615496
