Gene,pvals,p_fdr,log2_fold_change
NP_720488.1,1.489388433613e-21,1.1178972955739e-20,0.139710378630397
NP_720489.1,6.57843044312786e-30,1.84102074829821e-28,0.22270106697304
NP_720490.1,1.16817213926579e-15,3.54798328809563e-15,-0.157045263929826
NP_720491.1,7.12730166884019e-10,1.09337384254173e-09,0.151057463838862
NP_720492.1,3.22273319901884e-10,5.12445968902427e-10,-0.0296964267310601
NP_720493.1,1.35172396835922e-11,2.49523936919497e-11,-0.00338972300437397
NP_720494.1,7.82889049787475e-10,1.19725187239162e-09,-0.102672355704024
NP_720495.1,6.7035848887441e-17,2.42293778543352e-16,0.0465644436386201
NP_720496.1,1.63342640961333e-15,4.88531654417177e-15,-0.000995369457343259
NP_720497.1,6.04746930033986e-17,2.20614382855974e-16,0.066291654063663
NP_720498.1,1.86320980473597e-15,5.52197883128254e-15,-0.270292807967603
NP_720499.1,1.52493260110975e-07,1.90640903993236e-07,-0.221643160990303
NP_720500.1,4.94902138320913e-15,1.36551167460657e-14,-0.121731985790303
NP_720501.1,1.04109263279092e-16,3.64196512078109e-16,-0.118483395468839
NP_720502.1,9.51210612891087e-07,1.14601573840937e-06,-0.143405231384628
NP_720503.1,3.42500719372962e-22,2.7956621218818e-21,-0.0793875138189981
NP_720504.1,2.36937023236531e-12,4.74600847157837e-12,-0.243742388441556
NP_720505.1,5.58605799086762e-10,8.71959171642204e-10,0.00996351511885336
NP_720506.1,3.02858446687921e-14,7.61617069398765e-14,0.156224075555314
NP_720507.1,1.47882612462389e-11,2.71510813321294e-11,0.234920396784841
NP_720508.1,4.51198652049087e-10,7.11100691362961e-10,0.292834511835434
NP_720509.1,8.61464431986218e-14,2.03817490611232e-13,0.301577686047787
NP_720510.1,2.13197416270947e-39,1.44018530508546e-37,0.368412262116146
NP_720511.1,1.83257776791474e-09,2.69521009560434e-09,-0.14782439348341
NP_720512.1,2.79355045885306e-09,4.02394510948025e-09,-0.289368853361992
NP_720513.1,2.88471198362006e-14,7.27303832163668e-14,-0.147852223497493
NP_720514.1,4.78761539474027e-18,2.05844012074412e-17,0.00799090294528422
NP_720515.1,4.23199180407834e-09,5.9772688855007e-09,-0.617929190821025
NP_720516.1,7.3238936476452e-08,9.35910479826285e-08,-0.321779957574063
NP_720517.1,3.08424807868166e-07,3.80961033173857e-07,-0.505305703469971
NP_720518.1,9.41896556391473e-10,1.42155266099453e-09,-0.491005122189799
NP_720519.1,4.6429590154791e-08,6.01557983553146e-08,-0.636280580217783
NP_720520.1,1.15895331571109e-05,1.33630932635552e-05,-0.478496874663778
NP_720522.1,0.000307806943629364,0.000334810551121556,-0.833551951456244
NP_720523.1,2.37171699139808e-09,3.43399378133692e-09,-5.04505536800383
NP_720524.1,5.94550704799878e-05,6.65176945004546e-05,-4.12573338573775
NP_720525.1,0.000699018489166368,0.000751991883732518,-0.880241311295517
NP_720526.1,5.16143737637496e-06,6.04378710120654e-06,-0.280144743305656
NP_720527.1,8.53853768936382e-14,2.02261128578763e-13,0.134419580403124
NP_720528.1,2.54282717672186e-21,1.85182098111455e-20,0.118582344843828
NP_720529.1,2.28006285702412e-14,5.80083524274058e-14,0.0234930573678012
NP_720530.1,7.90291768546871e-15,2.11789545086638e-14,-0.0311019920057419
NP_720531.1,1.94306750585729e-09,2.84983746253096e-09,0.240275727778289
NP_720532.1,2.45688973160974e-09,3.55468758066727e-09,0.333707080013729
NP_720533.1,2.8259874518481e-20,1.74640675652064e-19,0.272529921443422
NP_720534.1,5.46329798417183e-09,7.6611315325645e-09,0.23403494213677
NP_720535.1,5.89739009630092e-21,4.01145388842136e-20,0.250379899624417
NP_720536.1,9.93907896112852e-17,3.49562938686728e-16,0.259345085676239
NP_720537.1,6.41937874752639e-18,2.71025063931125e-17,0.105059430209952
NP_720538.1,1.94338643694949e-18,8.93684044597197e-18,0.279799031263955
NP_720539.1,6.07124264617681e-12,1.16148089295511e-11,0.28959199467887
NP_720540.1,3.01779562020081e-12,5.97157739391251e-12,0.0537621559209342
NP_720541.1,8.9279662815432e-15,2.38606902394859e-14,0.0154921157287566
NP_720542.1,2.8772565420031e-07,3.56067313062797e-07,-0.696092413815761
NP_720543.1,2.87918033103959e-07,3.56080446244101e-07,-0.609768970291835
NP_720545.1,0.399308681121504,0.406572612430887,-2.08827908685464
NP_720546.1,0.355545138214163,0.362767148834138,-1.8713423584822
NP_720547.1,0.000545362579579362,0.000589280360394909,-1.08864582111329
