name,locus_tag
NP_720488.1,SMU_01
NP_720489.1,SMU_02
NP_720490.1,SMU_05
NP_720491.1,SMU_06
NP_720492.1,SMU_07
NP_720493.1,SMU_08
NP_720494.1,SMU_09
NP_720495.1,SMU_10
NP_720496.1,SMU_11
NP_720497.1,SMU_12
NP_720498.1,SMU_13
NP_720499.1,SMU_14
NP_720500.1,SMU_15
NP_720501.1,SMU_16
NP_720502.1,SMU_18
NP_720503.1,SMU_20
NP_720504.1,SMU_21
NP_720505.1,SMU_22
NP_720506.1,SMU_23
NP_720507.1,SMU_24
NP_720508.1,SMU_25
NP_720509.1,SMU_26
NP_720510.1,SMU_27
NP_720511.1,SMU_28
NP_720512.1,SMU_29
NP_720513.1,SMU_30
NP_720514.1,SMU_31
NP_720515.1,SMU_32
NP_720516.1,SMU_33
NP_720517.1,SMU_34
NP_720518.1,SMU_35
NP_720519.1,SMU_36
NP_720520.1,SMU_37
NP_720521.1,SMU_38c
NP_720522.1,SMU_39
NP_720523.1,SMU_40
NP_720524.1,SMU_41
NP_720525.1,SMU_42
NP_720526.1,SMU_43
NP_720527.1,SMU_44
NP_720528.1,SMU_45
NP_720529.1,SMU_46
NP_720530.1,SMU_47
NP_720531.1,SMU_48
NP_720532.1,SMU_49
NP_720533.1,SMU_50
NP_720534.1,SMU_51
NP_720535.1,SMU_52
NP_720536.1,SMU_53
NP_720537.1,SMU_54
NP_720538.1,SMU_55
NP_720539.1,SMU_56
NP_720540.1,SMU_58
NP_720541.1,SMU_59
NP_720542.1,SMU_60
NP_720543.1,SMU_61
NP_720544.1,SMU_63c
NP_720545.1,SMU_64
NP_720546.1,SMU_65
NP_720547.1,SMU_66
NP_720548.1,SMU_67
NP_720549.1,SMU_68
NP_720550.1,SMU_70
NP_720551.1,SMU_71
NP_720552.3,SMU_72
NP_720553.1,SMU_73
NP_720554.1,SMU_74
NP_720555.1,SMU_75
NP_720556.1,SMU_76
NP_720557.1,SMU_78
NP_720558.1,SMU_79
NP_720559.1,SMU_80
NP_720560.1,SMU_81
NP_720561.1,SMU_82
NP_720562.1,SMU_83
NP_720563.1,SMU_84
NP_720564.1,SMU_85
NP_720565.1,SMU_86
NP_720566.1,SMU_87
NP_720567.1,SMU_88c
NP_720568.1,SMU_89c
NP_720569.1,SMU_91
NP_720570.1,SMU_92c
NP_720571.1,SMU_93c
NP_720572.1,SMU_94c
NP_720573.3,SMU_96
NP_720574.1,SMU_97
NP_720575.1,SMU_99
NP_720576.1,SMU_100
NP_720577.1,SMU_101
NP_720578.1,SMU_102
NP_720579.1,SMU_103
NP_720580.1,SMU_104
NP_720581.1,SMU_105
NP_720582.1,SMU_106c
NP_720583.1,SMU_107
NP_720584.1,SMU_108
NP_720585.1,SMU_109
NP_720586.1,SMU_110
NP_720587.1,SMU_112c
NP_720588.1,SMU_113
NP_720589.1,SMU_114
NP_720590.1,SMU_115
NP_720591.1,SMU_116
NP_720592.1,SMU_117c
NP_720593.1,SMU_118c
NP_720594.1,SMU_119
NP_720595.1,SMU_120
NP_720596.1,SMU_121
NP_720597.1,SMU_123
NP_720598.1,SMU_124
NP_720599.1,SMU_125
NP_720600.1,SMU_127
NP_720601.1,SMU_128
NP_720602.1,SMU_129
NP_720603.1,SMU_130
NP_720604.1,SMU_131
NP_720605.1,SMU_132
NP_720606.1,SMU_133c
NP_720607.1,SMU_134
NP_720608.1,SMU_135
NP_720609.1,SMU_136c
NP_720610.1,SMU_137
NP_720611.1,SMU_138
NP_720612.1,SMU_139
NP_720613.1,SMU_140
NP_720614.1,SMU_141
NP_720615.1,SMU_143c
NP_720616.1,SMU_144c
NP_720617.1,SMU_145
NP_720618.1,SMU_148
NP_720619.1,SMU_149
NP_720620.1,SMU_150
NP_720621.1,SMU_151
NP_720622.1,SMU_152
NP_720623.1,SMU_153
NP_720624.1,SMU_154
NP_720625.1,SMU_155
NP_720626.1,SMU_156
NP_720627.1,SMU_157
NP_720628.1,SMU_158
NP_720629.1,SMU_159
NP_720630.1,SMU_160
NP_720631.1,SMU_161
NP_720632.1,SMU_162c
NP_720633.1,SMU_163c
NP_720634.1,SMU_164
NP_720635.1,SMU_165
NP_720636.1,SMU_166
NP_720637.1,SMU_167
NP_720638.1,SMU_168
NP_720639.1,SMU_169
NP_720640.1,SMU_170
NP_720641.1,SMU_172
NP_720642.1,SMU_173
NP_720643.1,SMU_174c
NP_720644.1,SMU_175
NP_720645.1,SMU_176
NP_720646.1,SMU_177
NP_720647.1,SMU_178
NP_720648.1,SMU_179
NP_720649.1,SMU_180
NP_720650.1,SMU_181
NP_720651.1,SMU_182
NP_720652.1,SMU_183
NP_720653.1,SMU_184
NP_720654.1,SMU_185
NP_720655.1,SMU_186
NP_720656.1,SMU_187c
NP_720657.1,SMU_188c
NP_720658.1,SMU_189
NP_720659.1,SMU_191c
NP_720660.1,SMU_193c
NP_720661.1,SMU_194c
NP_720662.1,SMU_195c
NP_720663.1,SMU_196c
NP_720664.1,SMU_197c
NP_720665.1,SMU_198c
NP_720666.1,SMU_199c
NP_720667.1,SMU_200c
NP_720668.1,SMU_201c
NP_720669.1,SMU_202c
NP_720670.1,SMU_204c
NP_720671.1,SMU_205c
NP_720672.1,SMU_206c
NP_720673.1,SMU_207c
NP_720674.1,SMU_208c
NP_720675.1,SMU_209c
