"","1-media.mapped.bam","1-5bmuc.mapped.bam","1-5bgly.mapped.bam","1-5acgly.mapped.bam","2-media.mapped.bam","2-5bmuc.mapped.bam","2-5bgly.mapped.bam","2-5acgly.mapped.bam"
"NP_720488.1",3074,4476,11006,10216,3446,3317,5095,4544
"NP_720489.1",3141,4946,12489,11069,3727,3451,5570,4983
"NP_720490.1",329,451,1066,1127,425,385,462,818
"NP_720491.1",6045,9639,23043,23169,7030,7010,9911,6259
"NP_720492.1",1276,1771,3872,3943,1268,1370,1756,1500
"NP_720493.1",6379,10317,21166,23240,7021,6930,9181,8462
"NP_720494.1",1249,1780,3794,4098,1360,1284,1694,3202
"NP_720495.1",1871,3048,6452,6219,2279,2456,3078,4324
"NP_720496.1",589,1042,1931,1929,706,719,938,951
"NP_720497.1",4983,7943,16272,15272,5528,5760,8081,7398
"NP_720498.1",3710,5189,9572,9339,4214,3811,4883,3717
"NP_720499.1",7984,10331,23093,25068,8570,7951,9483,11047
"NP_720500.1",38212,53684,116796,118542,46137,43189,55656,68585
"NP_720501.1",2956,4426,9435,10825,2989,2916,3431,7958
"NP_720502.1",137,218,451,454,148,138,158,713
"NP_720503.1",4293,7297,12361,13252,4109,5007,5613,6094
"NP_720504.1",991,1772,2321,2579,757,944,1044,1996
"NP_720505.1",96529,131401,332687,303999,103527,97559,132278,40850
"NP_720506.1",4411,6762,16325,15328,4938,4832,7225,5878
"NP_720507.1",2238,3250,8362,7305,2433,2221,3934,3448
"NP_720508.1",1512,2324,5675,5511,1604,1575,2796,3763
"NP_720509.1",4936,7869,20020,17327,5406,5403,8830,6729
"NP_720510.1",1885,3102,7792,7148,1862,1991,3283,2376
"NP_720511.1",248,353,663,593,212,224,287,354
"NP_720512.1",276,426,748,978,276,265,297,709
"NP_720513.1",2182,3017,6409,8484,2336,2179,2827,2841
"NP_720514.1",320,571,1107,1467,325,346,411,964
"NP_720515.1",1308,1547,2816,3507,1353,1110,1163,1565
"NP_720516.1",243,345,639,759,244,229,259,267
"NP_720517.1",1040,1311,2468,3074,1178,1010,1074,1519
"NP_720518.1",721,910,1668,1923,719,611,687,893
"NP_720519.1",845,1090,1713,2199,838,719,749,1144
"NP_720520.1",1917,2386,4473,5474,2067,1702,1991,1871
"NP_720522.1",251,331,478,420,243,194,174,244
"NP_720523.1",237,164,37,27,252,100,4,25
"NP_720524.1",58,47,15,6,64,24,3,0
"NP_720525.1",1868,2215,3165,3436,1779,1413,1360,1061
"NP_720526.1",1843,2656,5173,5691,2083,1827,2192,2250
"NP_720527.1",1196,1928,4448,5084,1377,1376,1945,2165
"NP_720528.1",2731,4905,9952,10518,3265,3478,4610,6316
"NP_720529.1",974,1549,2940,3123,1000,1013,1492,2336
"NP_720530.1",1059,1774,3514,3541,1358,1366,1715,1648
"NP_720531.1",1534,2109,5191,6768,1782,1917,3143,4697
