Pathway	background	upregulated_input	upregulated_FDR	FDR<0.05	background	downregulated_input	downregulated_FDR	FDR<0.05	
00010 Glycolysis / Gluconeogenesis [PATH:smu00010]	26	15	0.6129910267088989		26	9	0.9984060133590984	
00020 Citrate cycle (TCA cycle) [PATH:smu00020]	10	4	0.8836754872464554		10	5	0.6283887850284169	
00030 Pentose phosphate pathway [PATH:smu00030]	12	6	0.7388619266588995		12	6	0.6283887850284169	
00040 Pentose and glucuronate interconversions [PATH:smu00040]	5	2	0.817479278238602		5	3	0.5363161487349279	
00051 Fructose and mannose metabolism [PATH:smu00051]	24	11	0.8836754872464554		24	12	0.6283887850284169	
00052 Galactose metabolism [PATH:smu00052]	19	11	0.6129910267088989		19	4	1.0	
00053 Ascorbate and aldarate metabolism [PATH:smu00053]	7	5	0.3564649422748748		7	2	0.9014705965526386	
00061 Fatty acid biosynthesis [PATH:smu00061]	14	6	0.8836754872464554		14	8	0.4795994522678339	
00190 Oxidative phosphorylation [PATH:smu00190]	9	1	0.999999999998302		9	8	0.043716063741809835	*
00194 Photosynthesis proteins [BR:smu00194]	8	1	0.999999999998302		8	7	0.04609249780834406	*
00220 Arginine biosynthesis [PATH:smu00220]	11	6	0.6541374707479163		11	5	0.6872296568898155	
00230 Purine metabolism [PATH:smu00230]	34	19	0.6158503241206971		34	15	0.6872296568898155	
00240 Pyrimidine metabolism [PATH:smu00240]	27	14	0.7281268124530328		27	12	0.6872296568898155	
00250 Alanine, aspartate and glutamate metabolism [PATH:smu00250]	19	10	0.6940612463347928		19	9	0.6872296568898155	
00260 Glycine, serine and threonine metabolism [PATH:smu00260]	16	8	0.7479170799129173		16	7	0.6872296568898155	
00270 Cysteine and methionine metabolism [PATH:smu00270]	21	12	0.6149063715340455		21	8	0.9014705965526386	
00290 Valine, leucine and isoleucine biosynthesis [PATH:smu00290]	12	10	0.04901023855547783	*	12	2	1.0	
00300 Lysine biosynthesis [PATH:smu00300]	12	8	0.3910833922683553		12	4	0.9014705965526386	
00330 Arginine and proline metabolism [PATH:smu00330]	6	2	0.8836754872464554		6	4	0.42746793125084576	
00340 Histidine metabolism [PATH:smu00340]	12	9	0.20668709911714908		12	3	1.0	
00350 Tyrosine metabolism [PATH:smu00350]	5	2	0.817479278238602		5	2	0.6872296568898155	
00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:smu00400]	19	10	0.6940612463347928		19	7	0.9014705965526386	
00450 Selenocompound metabolism [PATH:smu00450]	7	4	0.6158503241206971		7	3	0.6872296568898155	
00480 Glutathione metabolism [PATH:smu00480]	5	2	0.817479278238602		5	2	0.6872296568898155	
00500 Starch and sucrose metabolism [PATH:smu00500]	32	12	0.999999999998302		32	17	0.4795994522678339	
00520 Amino sugar and nucleotide sugar metabolism [PATH:smu00520]	27	11	0.9593986836144818		27	12	0.6872296568898155	
00521 Streptomycin biosynthesis [PATH:smu00521]	7	5	0.3564649422748748		7	2	0.9014705965526386	
00550 Peptidoglycan biosynthesis [PATH:smu00550]	25	14	0.6158503241206971		25	11	0.6872296568898155	
00561 Glycerolipid metabolism [PATH:smu00561]	11	4	0.9164926554855811		11	6	0.5363161487349279	
00564 Glycerophospholipid metabolism [PATH:smu00564]	8	6	0.2609058911147888		8	2	0.9984060133590984	
00620 Pyruvate metabolism [PATH:smu00620]	26	11	0.9164926554855811		26	13	0.6283887850284169	
00630 Glyoxylate and dicarboxylate metabolism [PATH:smu00630]	10	4	0.8836754872464554		10	5	0.6283887850284169	
00640 Propanoate metabolism [PATH:smu00640]	13	2	0.999999999998302		13	10	0.04609249780834406	*
00650 Butanoate metabolism [PATH:smu00650]	12	7	0.6129910267088989		12	4	0.9014705965526386	
00660 C5-Branched dibasic acid metabolism [PATH:smu00660]	7	7	0.0	*	7	0	1.0	
00670 One carbon pool by folate [PATH:smu00670]	10	5	0.7281268124530328		10	5	0.6283887850284169	
00680 Methane metabolism [PATH:smu00680]	13	6	0.817479278238602		13	7	0.5363161487349279	
00730 Thiamine metabolism [PATH:smu00730]	6	2	0.8836754872464554		6	4	0.42746793125084576	
00760 Nicotinate and nicotinamide metabolism [PATH:smu00760]	8	5	0.5904065581818791		8	3	0.8118913603133779	
00770 Pantothenate and CoA biosynthesis [PATH:smu00770]	13	6	0.817479278238602		13	7	0.5363161487349279	
00790 Folate biosynthesis [PATH:smu00790]	11	4	0.9164926554855811		11	6	0.5363161487349279	
00900 Terpenoid backbone biosynthesis [PATH:smu00900]	9	5	0.6453440485851472		9	4	0.6872296568898155	
00910 Nitrogen metabolism [PATH:smu00910]	7	4	0.6158503241206971		7	3	0.6872296568898155	
00920 Sulfur metabolism [PATH:smu00920]	6	3	0.6940612463347928		6	1	1.0	
00970 Aminoacyl-tRNA biosynthesis [PATH:smu00970]	91	23	0.999999999998302		91	3	1.0	
01001 Protein kinases [BR:smu01001]	8	2	0.9989812886006539		8	5	0.42820040670161735	
01002 Peptidases and inhibitors [BR:smu01002]	34	13	0.999999999998302		34	21	0.1090684634864102	
01003 Glycosyltransferases [BR:smu01003]	13	3	0.999999999998302		13	10	0.04609249780834406	*
01004 Lipid biosynthesis proteins [BR:smu01004]	11	7	0.5175999636580655		11	4	0.8879484864466342	
01005 Lipopolysaccharide biosynthesis proteins [BR:smu01005]	8	3	0.8836754872464554		8	5	0.42820040670161735	
01007 Amino acid related enzymes [BR:smu01007]	29	22	0.024369913568901162	*	29	7	1.0	
01011 Peptidoglycan biosynthesis and degradation proteins [BR:smu01011]	24	10	0.9164926554855811		24	14	0.3747325762936495	
01501 beta-Lactam resistance [PATH:smu01501]	11	6	0.6541374707479163		11	5	0.6872296568898155	
01502 Vancomycin resistance [PATH:smu01502]	6	4	0.5015330288913962		6	2	0.8529980122934852	
01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:smu01503]	6	4	0.5015330288913962		6	2	0.8529980122934852	
01504 Antimicrobial resistance genes [BR:smu01504]	5	3	0.6129910267088989		5	2	0.6872296568898155	
02000 Transporters [BR:smu02000]	220	130	0.07192665283616079		220	67	1.0	
02010 ABC transporters [PATH:smu02010]	90	54	0.2609058911147888		90	21	1.0	
02020 Two-component system [PATH:smu02020]	44	20	0.9164926554855811		44	20	0.6872296568898155	
02022 Two-component system [BR:smu02022]	13	5	0.9164926554855811		13	7	0.5363161487349279	
02024 Quorum sensing [PATH:smu02024]	51	24	0.8836754872464554		51	15	1.0	
02044 Secretion system [BR:smu02044]	21	6	0.999999999998302		21	15	0.04609249780834406	*
02048 Prokaryotic defense system [BR:smu02048]	24	9	0.9989812886006539		24	15	0.1782202009307253	
02060 Phosphotransferase system (PTS) [PATH:smu02060]	31	15	0.8396874619326545		31	14	0.6872296568898155	
03000 Transcription factors [BR:smu03000]	32	9	0.999999999998302		32	19	0.19361853419031722	
03009 Ribosome biogenesis [BR:smu03009]	46	26	0.6129910267088989		46	20	0.7309500128331211	
03010 Ribosome [PATH:smu03010]	68	36	0.6940612463347928		68	16	1.0	
03011 Ribosome [BR:smu03011]	68	36	0.6940612463347928		68	16	1.0	
03012 Translation factors [BR:smu03012]	14	10	0.2609058911147888		14	4	1.0	
03016 Transfer RNA biogenesis [BR:smu03016]	55	33	0.3653442075101856		55	20	1.0	
03018 RNA degradation [PATH:smu03018]	10	9	0.020030135775798246	*	10	1	1.0	
03019 Messenger RNA biogenesis [BR:smu03019]	14	11	0.08021785492068079		14	2	1.0	
03020 RNA polymerase [PATH:smu03020]	5	5	0.0	*	5	0	1.0	
03021 Transcription machinery [BR:smu03021]	10	10	0.0	*	10	0	1.0	
03029 Mitochondrial biogenesis [BR:smu03029]	28	18	0.33776815557805384		28	10	0.9902421161042743	
03030 DNA replication [PATH:smu03030]	14	10	0.2609058911147888		14	4	1.0	
03032 DNA replication proteins [BR:smu03032]	24	14	0.6129910267088989		24	9	0.9014705965526386	
03036 Chromosome and associated proteins [BR:smu03036]	28	22	0.013701390918950257	*	28	5	1.0	
03060 Protein export [PATH:smu03060]	12	7	0.6129910267088989		12	5	0.7348586524582671	
03070 Bacterial secretion system [PATH:smu03070]	9	5	0.6453440485851472		9	4	0.6872296568898155	
03100 Non-coding RNAs [BR:smu03100]	80	0	0.999999999998302		80	0	1.0	
03110 Chaperones and folding catalysts [BR:smu03110]	18	12	0.33776815557805384		18	5	1.0	
03400 DNA repair and recombination proteins [BR:smu03400]	63	30	0.8836754872464554		63	28	0.6872296568898155	
