Pathway	background	upregulated_input	upregulated_FDR	FDR<0.05	background	downregulated_input	downregulated_FDR	FDR<0.05	
00010 Glycolysis / Gluconeogenesis [PATH:smu00010]	26	15	0.42739421172980024		26	10	1.0	
00020 Citrate cycle (TCA cycle) [PATH:smu00020]	10	2	0.9999999999969368		10	7	0.23582631394700204	
00030 Pentose phosphate pathway [PATH:smu00030]	12	9	0.098014649080551		12	3	1.0	
00040 Pentose and glucuronate interconversions [PATH:smu00040]	5	4	0.1287086869812176		5	1	1.0	
00051 Fructose and mannose metabolism [PATH:smu00051]	24	12	0.7854149689717098		24	12	0.7931867904777122	
00052 Galactose metabolism [PATH:smu00052]	19	11	0.4367089475466679		19	5	1.0	
00053 Ascorbate and aldarate metabolism [PATH:smu00053]	7	6	0.06524711395290636		7	1	1.0	
00061 Fatty acid biosynthesis [PATH:smu00061]	14	3	0.9999999999969368		14	11	0.14777740849769486	
00190 Oxidative phosphorylation [PATH:smu00190]	9	9	0.0	*	9	0	1.0	
00194 Photosynthesis proteins [BR:smu00194]	8	8	0.0	*	8	0	1.0	
00220 Arginine biosynthesis [PATH:smu00220]	11	5	0.7854149689717098		11	6	0.6949020949358026	
00230 Purine metabolism [PATH:smu00230]	34	23	0.098014649080551		34	11	1.0	
00240 Pyrimidine metabolism [PATH:smu00240]	27	20	0.043070389427455516	*	27	6	1.0	
00250 Alanine, aspartate and glutamate metabolism [PATH:smu00250]	19	14	0.08455832912113875		19	5	1.0	
00260 Glycine, serine and threonine metabolism [PATH:smu00260]	16	11	0.1603850518064326		16	4	1.0	
00270 Cysteine and methionine metabolism [PATH:smu00270]	21	13	0.2946772174832316		21	8	1.0	
00290 Valine, leucine and isoleucine biosynthesis [PATH:smu00290]	12	8	0.24274120550721623		12	4	1.0	
00300 Lysine biosynthesis [PATH:smu00300]	12	9	0.098014649080551		12	3	1.0	
00330 Arginine and proline metabolism [PATH:smu00330]	6	2	0.8537187608806656		6	4	0.44048841342627676	
00340 Histidine metabolism [PATH:smu00340]	12	7	0.4367089475466679		12	5	1.0	
00350 Tyrosine metabolism [PATH:smu00350]	5	1	0.9640377017381131		5	4	0.21666864618859263	
00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:smu00400]	19	6	0.9999999999969368		19	11	0.47337460664011216	
00450 Selenocompound metabolism [PATH:smu00450]	7	3	0.7854149689717098		7	4	0.6949020949358026	
00480 Glutathione metabolism [PATH:smu00480]	5	2	0.7854149689717098		5	2	1.0	
00500 Starch and sucrose metabolism [PATH:smu00500]	32	14	0.9369485338336184		32	16	0.7931867904777122	
00520 Amino sugar and nucleotide sugar metabolism [PATH:smu00520]	27	17	0.24274120550721623		27	8	1.0	
00521 Streptomycin biosynthesis [PATH:smu00521]	7	5	0.21403725304166474		7	2	1.0	
00550 Peptidoglycan biosynthesis [PATH:smu00550]	25	15	0.3473015689347093		25	10	1.0	
00561 Glycerolipid metabolism [PATH:smu00561]	11	4	0.9354935342119057		11	6	0.6949020949358026	
00564 Glycerophospholipid metabolism [PATH:smu00564]	8	6	0.14206547415261014		8	2	1.0	
00620 Pyruvate metabolism [PATH:smu00620]	26	9	0.9999999999969368		26	16	0.23582631394700204	
00630 Glyoxylate and dicarboxylate metabolism [PATH:smu00630]	10	4	0.8513043987350518		10	5	0.7931867904777122	
00640 Propanoate metabolism [PATH:smu00640]	13	3	0.9999999999969368		13	9	0.21666864618859263	
00650 Butanoate metabolism [PATH:smu00650]	12	8	0.24274120550721623		12	4	1.0	
00660 C5-Branched dibasic acid metabolism [PATH:smu00660]	7	4	0.4733418132388447		7	3	1.0	
00670 One carbon pool by folate [PATH:smu00670]	10	5	0.694532831953315		10	5	0.7931867904777122	
00680 Methane metabolism [PATH:smu00680]	13	9	0.1788012009835459		13	4	1.0	
00730 Thiamine metabolism [PATH:smu00730]	6	3	0.6419981082645656		6	3	0.7931867904777122	
00760 Nicotinate and nicotinamide metabolism [PATH:smu00760]	8	5	0.3473015689347093		8	3	1.0	
00770 Pantothenate and CoA biosynthesis [PATH:smu00770]	13	8	0.3473015689347093		13	5	1.0	
00790 Folate biosynthesis [PATH:smu00790]	11	9	0.05717828605347824		11	2	1.0	
00900 Terpenoid backbone biosynthesis [PATH:smu00900]	9	6	0.26380872198799143		9	3	1.0	
00910 Nitrogen metabolism [PATH:smu00910]	7	3	0.7854149689717098		7	4	0.6949020949358026	
00920 Sulfur metabolism [PATH:smu00920]	6	3	0.6419981082645656		6	2	1.0	
00970 Aminoacyl-tRNA biosynthesis [PATH:smu00970]	91	26	0.9999999999969368		91	0	1.0	
01001 Protein kinases [BR:smu01001]	8	5	0.3473015689347093		8	3	1.0	
01002 Peptidases and inhibitors [BR:smu01002]	34	20	0.3473015689347093		34	14	1.0	
01003 Glycosyltransferases [BR:smu01003]	13	6	0.7854149689717098		13	7	0.6949020949358026	
01004 Lipid biosynthesis proteins [BR:smu01004]	11	3	0.9999999999969368		11	8	0.21666864618859263	
01005 Lipopolysaccharide biosynthesis proteins [BR:smu01005]	8	4	0.6742358222672286		8	4	0.7931867904777122	
01007 Amino acid related enzymes [BR:smu01007]	29	26	3.948738546514668e-05	*	29	3	1.0	
01011 Peptidoglycan biosynthesis and degradation proteins [BR:smu01011]	24	17	0.0933152966804608		24	7	1.0	
01501 beta-Lactam resistance [PATH:smu01501]	11	9	0.05717828605347824		11	2	1.0	
01502 Vancomycin resistance [PATH:smu01502]	6	5	0.09392504899416752		6	1	1.0	
01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:smu01503]	6	2	0.8537187608806656		6	4	0.44048841342627676	
01504 Antimicrobial resistance genes [BR:smu01504]	5	1	0.9640377017381131		5	4	0.21666864618859263	
02000 Transporters [BR:smu02000]	220	104	0.9999999999969368		220	100	0.8753454009497265	
02010 ABC transporters [PATH:smu02010]	90	45	0.8360723584373938		90	33	1.0	
02020 Two-component system [PATH:smu02020]	44	22	0.7854149689717098		44	21	0.7985667978865912	
02022 Two-component system [BR:smu02022]	13	7	0.6008477996660643		13	6	0.9751319634461996	
02024 Quorum sensing [PATH:smu02024]	51	26	0.7854149689717098		51	19	1.0	
02044 Secretion system [BR:smu02044]	21	8	0.9767249433329935		21	13	0.2613282945724426	
02048 Prokaryotic defense system [BR:smu02048]	24	11	0.8513043987350518		24	13	0.6383137203216589	
02060 Phosphotransferase system (PTS) [PATH:smu02060]	31	16	0.7209616312120094		31	14	1.0	
03000 Transcription factors [BR:smu03000]	32	10	0.9999999999969368		32	20	0.21666864618859263	
03009 Ribosome biogenesis [BR:smu03009]	46	30	0.098014649080551		46	15	1.0	
03010 Ribosome [PATH:smu03010]	68	48	0.005776324641554951	*	68	4	1.0	
03011 Ribosome [BR:smu03011]	68	48	0.005776324641554951	*	68	4	1.0	
03012 Translation factors [BR:smu03012]	14	13	0.0016774146900298608	*	14	1	1.0	
03016 Transfer RNA biogenesis [BR:smu03016]	55	46	3.6927073344200127e-06	*	55	8	1.0	
03018 RNA degradation [PATH:smu03018]	10	8	0.08455832912113875		10	2	1.0	
03019 Messenger RNA biogenesis [BR:smu03019]	14	10	0.13145998929021935		14	4	1.0	
03020 RNA polymerase [PATH:smu03020]	5	5	0.0	*	5	0	1.0	
03021 Transcription machinery [BR:smu03021]	10	9	0.012547403540861372	*	10	1	1.0	
03029 Mitochondrial biogenesis [BR:smu03029]	28	23	0.0026585005906586147	*	28	5	1.0	
03030 DNA replication [PATH:smu03030]	14	9	0.2712363290249683		14	5	1.0	
03032 DNA replication proteins [BR:smu03032]	24	17	0.0933152966804608		24	6	1.0	
03036 Chromosome and associated proteins [BR:smu03036]	28	19	0.10420901690062542		28	8	1.0	
03060 Protein export [PATH:smu03060]	12	9	0.098014649080551		12	3	1.0	
03070 Bacterial secretion system [PATH:smu03070]	9	7	0.098014649080551		9	2	1.0	
03100 Non-coding RNAs [BR:smu03100]	80	0	0.9999999999969368		80	0	1.0	
03110 Chaperones and folding catalysts [BR:smu03110]	18	10	0.5322986401293525		18	7	1.0	
03400 DNA repair and recombination proteins [BR:smu03400]	63	31	0.8410961453672731		63	27	1.0	
03410 Base excision repair [PATH:smu03410]	10	4	0.8513043987350518		10	6	0.5512828001866747	
03420 Nucleotide excision repair [PATH:smu03420]	7	2	0.952437403489418		7	5	0.2613282945724426	
03430 Mismatch repair [PATH:smu03430]	17	11	0.24425682061439263		17	6	1.0	
03440 Homologous recombination [PATH:smu03440]	19	9	0.7919663502655772		19	8	1.0	
04147 Exosome [BR:smu04147]	25	20	0.008480807411881121	*	25	3	1.0	
99976 Replication and repair	8	2	0.9899239567260254		8	6	0.21666864618859263	
99977 Transport	5	3	0.4195347436784875		5	2	1.0	
99980 Enzymes with EC numbers	33	16	0.8134218736924056		33	16	0.7931867904777122	
99996 General function prediction only	16	11	0.1603850518064326		16	5	1.0	
99997 Function unknown	36	22	0.253740734499217		36	14	1.0	
