Pathway	background	upregulated_input	upregulated_FDR	FDR<0.05	background	downregulated_input	downregulated_FDR	FDR<0.05	
00010 Glycolysis / Gluconeogenesis [PATH:smu00010]	26	0	0.999999999969157		26	0	0.7031995656923902	
00020 Citrate cycle (TCA cycle) [PATH:smu00020]	10	0	0.999999999969157		10	0	0.4655007556373465	
00030 Pentose phosphate pathway [PATH:smu00030]	12	2	0.999999999969157		12	1	0.29439600021424406	
00040 Pentose and glucuronate interconversions [PATH:smu00040]	5	2	0.7904832301987871		5	0	0.42702566757418003	
00051 Fructose and mannose metabolism [PATH:smu00051]	24	3	0.999999999969157		24	0	0.686760924798155	
00052 Galactose metabolism [PATH:smu00052]	19	2	0.999999999969157		19	0	0.5978544582334141	
00053 Ascorbate and aldarate metabolism [PATH:smu00053]	7	4	0.3170656477918229		7	0	0.4316331079917112	
00061 Fatty acid biosynthesis [PATH:smu00061]	14	3	0.999999999969157		14	0	0.5047997890338294	
00190 Oxidative phosphorylation [PATH:smu00190]	9	2	0.999999999969157		9	0	0.4655007556373465	
00194 Photosynthesis proteins [BR:smu00194]	8	2	0.999999999969157		8	0	0.43343442884564987	
00220 Arginine biosynthesis [PATH:smu00220]	11	4	0.7904832301987871		11	0	0.47342899677002626	
00230 Purine metabolism [PATH:smu00230]	34	11	0.7904832301987871		34	1	0.4832719654901423	
00240 Pyrimidine metabolism [PATH:smu00240]	27	9	0.7904832301987871		27	3	0.19828561714810305	
00250 Alanine, aspartate and glutamate metabolism [PATH:smu00250]	19	8	0.4370050846738465		19	1	0.42702566757418003	
00260 Glycine, serine and threonine metabolism [PATH:smu00260]	16	2	0.999999999969157		16	1	0.39712107060808083	
00270 Cysteine and methionine metabolism [PATH:smu00270]	21	3	0.999999999969157		21	1	0.42702566757418003	
00290 Valine, leucine and isoleucine biosynthesis [PATH:smu00290]	12	1	0.999999999969157		12	0	0.4832719654901423	
00300 Lysine biosynthesis [PATH:smu00300]	12	4	0.9267077892039305		12	1	0.29439600021424406	
00330 Arginine and proline metabolism [PATH:smu00330]	6	2	0.9267077892039305		6	0	0.42702566757418003	
00340 Histidine metabolism [PATH:smu00340]	12	5	0.6221963985921195		12	0	0.4832719654901423	
00350 Tyrosine metabolism [PATH:smu00350]	5	0	0.999999999969157		5	0	0.42702566757418003	
00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:smu00400]	19	4	0.999999999969157		19	2	0.22614078220850212	
